pid,tests,saved,status_AGREE,status_FOUND,status_NO_MAJORITY,status_NO_VARIANT_OUTPUT,status_PUT_FAIL,label_TP,label_FP,label_NOT_FOUND,label_NO_ORACLE,label_PUT_FAIL,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,fixed_found,fixed_no_majority,fixed_tp_count,fixed_fp_count,fixed_precision,fixed_agree,fixed_no_variant_output,fixed_put_fail,report
p03543,100,2,98,2,0,0,0,2,0,98,0,0,2,0,0,0,1.0,2,0,2,0,1.0,98,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03543/report.txt
p03544,97,0,97,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03544/report.txt
p03558,99,0,0,0,97,0,2,0,0,97,0,2,0,0,93,0,0,0,99,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03558/report.txt
p03573,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03573/report.txt
p03613,90,0,0,0,90,0,0,0,0,90,0,0,0,0,67,0,0,0,90,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03613/report.txt
p03644,100,0,17,0,83,0,0,0,0,100,0,0,0,0,0,0,0,0,83,0,0,0,17,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03644/report.txt
p03698,98,61,37,61,0,0,0,61,0,37,0,0,61,0,0,0,1.0,61,0,61,0,1.0,37,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03698/report.txt
p03705,100,6,56,6,38,0,0,6,0,94,0,0,6,0,38,0,1.0,6,38,6,0,1.0,56,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03705/report.txt
p03719,100,2,98,2,0,0,0,2,0,98,0,0,2,0,0,0,1.0,2,0,2,0,1.0,98,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03719/report.txt
p03799,96,41,55,41,0,0,0,24,17,55,0,0,24,17,17,0,0.585366,41,0,24,17,0.585366,55,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03799/report.txt
p03828,99,20,8,20,71,0,0,20,0,79,0,0,20,0,71,0,1.0,20,71,20,0,1.0,8,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03828/report.txt
p03849,100,0,0,0,100,0,0,0,0,100,0,0,0,0,74,0,0,0,100,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03849/report.txt
p03854,100,1,99,1,0,0,0,1,0,99,0,0,1,0,0,0,1.0,1,0,1,0,1.0,99,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03854/report.txt
p03951,98,0,1,0,97,0,0,0,0,98,0,0,0,0,8,0,0,0,97,0,0,0,1,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03951/report.txt
p04012,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p04012/report.txt
p04043,100,16,84,16,0,0,0,7,9,84,0,0,7,9,9,0,0.4375,16,0,7,9,0.4375,84,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p04043/report.txt
TOTAL,4917,645,2658,645,1512,100,2,394,244,4106,79,2,401,244,982,0,0.6217054263565891,554,1757,399,155,0.720216606498195,2506,100,0,
